freeCodeCamp;https://github.com/freeCodeCamp/freeCodeCamp;https://api.github.com/repos/freeCodeCamp/freeCodeCamp
996.ICU;https://github.com/996icu/996.ICU;https://api.github.com/repos/996icu/996.ICU
free-programming-books;https://github.com/EbookFoundation/free-programming-books;https://api.github.com/repos/EbookFoundation/free-programming-books
coding-interview-university;https://github.com/jwasham/coding-interview-university;https://api.github.com/repos/jwasham/coding-interview-university
developer-roadmap;https://github.com/kamranahmedse/developer-roadmap;https://api.github.com/repos/kamranahmedse/developer-roadmap
system-design-primer;https://github.com/donnemartin/system-design-primer;https://api.github.com/repos/donnemartin/system-design-primer
vue;https://github.com/vuejs/vue;https://api.github.com/repos/vuejs/vue
react;https://github.com/facebook/react;https://api.github.com/repos/facebook/react
tensorflow;https://github.com/tensorflow/tensorflow;https://api.github.com/repos/tensorflow/tensorflow
You-Dont-Know-JS;https://github.com/getify/You-Dont-Know-JS;https://api.github.com/repos/getify/You-Dont-Know-JS
bootstrap;https://github.com/twbs/bootstrap;https://api.github.com/repos/twbs/bootstrap
CS-Notes;https://github.com/CyC2018/CS-Notes;https://api.github.com/repos/CyC2018/CS-Notes
javascript-algorithms;https://github.com/trekhleb/javascript-algorithms;https://api.github.com/repos/trekhleb/javascript-algorithms
ohmyzsh;https://github.com/ohmyzsh/ohmyzsh;https://api.github.com/repos/ohmyzsh/ohmyzsh
awesome-python;https://github.com/vinta/awesome-python;https://api.github.com/repos/vinta/awesome-python
Python;https://github.com/TheAlgorithms/Python;https://api.github.com/repos/TheAlgorithms/Python
linux;https://github.com/torvalds/linux;https://api.github.com/repos/torvalds/linux
vscode;https://github.com/microsoft/vscode;https://api.github.com/repos/microsoft/vscode
javascript;https://github.com/airbnb/javascript;https://api.github.com/repos/airbnb/javascript
computer-science;https://github.com/ossu/computer-science;https://api.github.com/repos/ossu/computer-science
JavaGuide;https://github.com/Snailclimb/JavaGuide;https://api.github.com/repos/Snailclimb/JavaGuide
Python-100-Days;https://github.com/jackfrued/Python-100-Days;https://api.github.com/repos/jackfrued/Python-100-Days
the-art-of-command-line;https://github.com/jlevy/the-art-of-command-line;https://api.github.com/repos/jlevy/the-art-of-command-line
youtube-dl;https://github.com/ytdl-org/youtube-dl;https://api.github.com/repos/ytdl-org/youtube-dl
awesome-selfhosted;https://github.com/awesome-selfhosted/awesome-selfhosted;https://api.github.com/repos/awesome-selfhosted/awesome-selfhosted
fucking-algorithm;https://github.com/labuladong/fucking-algorithm;https://api.github.com/repos/labuladong/fucking-algorithm
go;https://github.com/golang/go;https://api.github.com/repos/golang/go
react-native;https://github.com/facebook/react-native;https://api.github.com/repos/facebook/react-native
30-seconds-of-code;https://github.com/30-seconds/30-seconds-of-code;https://api.github.com/repos/30-seconds/30-seconds-of-code
electron;https://github.com/electron/electron;https://api.github.com/repos/electron/electron
d3;https://github.com/d3/d3;https://api.github.com/repos/d3/d3
create-react-app;https://github.com/facebook/create-react-app;https://api.github.com/repos/facebook/create-react-app
axios;https://github.com/axios/axios;https://api.github.com/repos/axios/axios
kubernetes;https://github.com/kubernetes/kubernetes;https://api.github.com/repos/kubernetes/kubernetes
awesome-go;https://github.com/avelino/awesome-go;https://api.github.com/repos/avelino/awesome-go
node;https://github.com/nodejs/node;https://api.github.com/repos/nodejs/node
three.js;https://github.com/mrdoob/three.js;https://api.github.com/repos/mrdoob/three.js
TypeScript;https://github.com/microsoft/TypeScript;https://api.github.com/repos/microsoft/TypeScript
deno;https://github.com/denoland/deno;https://api.github.com/repos/denoland/deno
terminal;https://github.com/microsoft/terminal;https://api.github.com/repos/microsoft/terminal
the-book-of-secret-knowledge;https://github.com/trimstray/the-book-of-secret-knowledge;https://api.github.com/repos/trimstray/the-book-of-secret-knowledge
project-based-learning;https://github.com/practical-tutorials/project-based-learning;https://api.github.com/repos/practical-tutorials/project-based-learning
nodebestpractices;https://github.com/goldbergyoni/nodebestpractices;https://api.github.com/repos/goldbergyoni/nodebestpractices
tech-interview-handbook;https://github.com/yangshun/tech-interview-handbook;https://api.github.com/repos/yangshun/tech-interview-handbook
PowerToys;https://github.com/microsoft/PowerToys;https://api.github.com/repos/microsoft/PowerToys
material-ui;https://github.com/mui/material-ui;https://api.github.com/repos/mui/material-ui
ant-design;https://github.com/ant-design/ant-design;https://api.github.com/repos/ant-design/ant-design
vue-element-admin;https://github.com/PanJiaChen/vue-element-admin;https://api.github.com/repos/PanJiaChen/vue-element-admin
transformers;https://github.com/huggingface/transformers;https://api.github.com/repos/huggingface/transformers
clean-code-javascript;https://github.com/ryanmcdermott/clean-code-javascript;https://api.github.com/repos/ryanmcdermott/clean-code-javascript
animate.css;https://github.com/animate-css/animate.css;https://api.github.com/repos/animate-css/animate.css
rust;https://github.com/rust-lang/rust;https://api.github.com/repos/rust-lang/rust
storybook;https://github.com/storybookjs/storybook;https://api.github.com/repos/storybookjs/storybook
scrcpy;https://github.com/Genymobile/scrcpy;https://api.github.com/repos/Genymobile/scrcpy
thefuck;https://github.com/nvbn/thefuck;https://api.github.com/repos/nvbn/thefuck
models;https://github.com/tensorflow/models;https://api.github.com/repos/tensorflow/models
LeetCodeAnimation;https://github.com/MisterBooo/LeetCodeAnimation;https://api.github.com/repos/MisterBooo/LeetCodeAnimation
realworld;https://github.com/gothinkster/realworld;https://api.github.com/repos/gothinkster/realworld
Font-Awesome;https://github.com/FortAwesome/Font-Awesome;https://api.github.com/repos/FortAwesome/Font-Awesome
papers-we-love;https://github.com/papers-we-love/papers-we-love;https://api.github.com/repos/papers-we-love/papers-we-love
